item, itemLabel
http://www.wikidata.org/entity/Q7407345, Sam Cooper
http://www.wikidata.org/entity/Q7089745, Omar Little
http://www.wikidata.org/entity/Q20379253, Samurai Jack
http://www.wikidata.org/entity/Q18416899, Aveline de Grandpré
http://www.wikidata.org/entity/Q10291638, Gru
http://www.wikidata.org/entity/Q25204271, Tracer
http://www.wikidata.org/entity/Q17022667, Yuri Lowell
http://www.wikidata.org/entity/Q18468944, Kirito
http://www.wikidata.org/entity/Q7308816, Reginald Molehusband
http://www.wikidata.org/entity/Q7312944, Rene Sheppard
http://www.wikidata.org/entity/Q7317670, Rev. Augustine Mulliner
http://www.wikidata.org/entity/Q7330171, Richard at the Lee
http://www.wikidata.org/entity/Q7334050, Rikimaru
http://www.wikidata.org/entity/Q7436423, "Scott Grainger,  Jr."
http://www.wikidata.org/entity/Q7519118, Simon Kerslake
http://www.wikidata.org/entity/Q7600003, Stanley Tweedle
http://www.wikidata.org/entity/Q7710764, Tharg the Mighty
http://www.wikidata.org/entity/Q7789339, Thomas Elphinstone Hambledon
http://www.wikidata.org/entity/Q7798866, Thun'da
http://www.wikidata.org/entity/Q7919539, Venal Anatomica
http://www.wikidata.org/entity/Q20647453, Imperator Furiosa
http://www.wikidata.org/entity/Q10296865, Nakisa
http://www.wikidata.org/entity/Q10321796, Wendy the Good Little Witch
http://www.wikidata.org/entity/Q11020382, Ken Masters
http://www.wikidata.org/entity/Q12750730, Jugović brothers
http://www.wikidata.org/entity/Q5524087, Garrus Vakarian
http://www.wikidata.org/entity/Q6547460, Lila Crane
http://www.wikidata.org/entity/Q20880566, Blaze Fielding
http://www.wikidata.org/entity/Q21233439, Joanne Collins
http://www.wikidata.org/entity/Q13232631, Harold Finch
http://www.wikidata.org/entity/Q17509066, Rust Cohle
http://www.wikidata.org/entity/Q5454702, Raylan Givens
http://www.wikidata.org/entity/Q19359499, Oberyn Martell
http://www.wikidata.org/entity/Q6449976, Kwai Chang Caine
http://www.wikidata.org/entity/Q6739480, Maki Genryusai
http://www.wikidata.org/entity/Q2714423, Asuka Kazama
http://www.wikidata.org/entity/Q3107955, Cody
http://www.wikidata.org/entity/Q3160992, James Cook
http://www.wikidata.org/entity/Q3572679, Yoshimitsu
http://www.wikidata.org/entity/Q4533085, Pat
http://www.wikidata.org/entity/Q5170681, Corinthian
http://www.wikidata.org/entity/Q4906796, Bigby
http://www.wikidata.org/entity/Q5195250, Curse
http://www.wikidata.org/entity/Q5070282, Chan
http://www.wikidata.org/entity/Q3052175, Guy
http://www.wikidata.org/entity/Q5223365, Dark Queen
http://www.wikidata.org/entity/Q5293299, Don Pedro
http://www.wikidata.org/entity/Q6123929, Jaime Sommers
http://www.wikidata.org/entity/Q6114635, Jack Point
http://www.wikidata.org/entity/Q4063579, Altaïr Ibn-La'Ahad
http://www.wikidata.org/entity/Q4666596, Abel Magwitch
http://www.wikidata.org/entity/Q4859531, Barbe de Verrue
http://www.wikidata.org/entity/Q4885498, Ben Daimio
http://www.wikidata.org/entity/Q4888155, Benjamin 'Ben' Stewart
http://www.wikidata.org/entity/Q4925676, Kiritsugu Emiya
http://www.wikidata.org/entity/Q4931621, Bob Acres
http://www.wikidata.org/entity/Q4947759, Boston Blackie
http://www.wikidata.org/entity/Q5084339, Charley Pollard
http://www.wikidata.org/entity/Q5096771, Chief Judge Fargo
http://www.wikidata.org/entity/Q5145710, Colin the Vet
http://www.wikidata.org/entity/Q5157104, Compson Family
http://www.wikidata.org/entity/Q5334887, Ed Grimley
http://www.wikidata.org/entity/Q5561278, Gilbert Whitehand
http://www.wikidata.org/entity/Q5591025, Grace Cavendish
http://www.wikidata.org/entity/Q5607819, Greuceanu
http://www.wikidata.org/entity/Q5733220, Herb Tarlek
http://www.wikidata.org/entity/Q5750080, Hfuhruhurr
http://www.wikidata.org/entity/Q5893038, Haymitch Abernathy
http://www.wikidata.org/entity/Q6038421, Inspector Ghote
http://www.wikidata.org/entity/Q6041980, Nick and Nora Charles
http://www.wikidata.org/entity/Q3273881, Mike Haggar
http://www.wikidata.org/entity/Q3498720, Travis Bickle
http://www.wikidata.org/entity/Q4060973, Alexandra Cabot
http://www.wikidata.org/entity/Q5364662, Elle Greenaway
http://www.wikidata.org/entity/Q3687082, Ratonhnaké꞉ton
http://www.wikidata.org/entity/Q388271, Simon Templar
http://www.wikidata.org/entity/Q774772, Clark Kent
http://www.wikidata.org/entity/Q1442843, Frank
http://www.wikidata.org/entity/Q2084013, Desire
http://www.wikidata.org/entity/Q2084029, Despair
http://www.wikidata.org/entity/Q929171, Venus de Milo
http://www.wikidata.org/entity/Q2287748, Mufasa
http://www.wikidata.org/entity/Q951317, John Rambo
http://www.wikidata.org/entity/Q570150, Bobby Singer
http://www.wikidata.org/entity/Q942938, Dexter Morgan
http://www.wikidata.org/entity/Q47386, Kenny McCormick
http://www.wikidata.org/entity/Q587387, Chris Redfield
http://www.wikidata.org/entity/Q584674, Scorpion
http://www.wikidata.org/entity/Q1317441, Mai Shiranui
http://www.wikidata.org/entity/Q949114, El Coyote
http://www.wikidata.org/entity/Q868779, Connor MacLeod
http://www.wikidata.org/entity/Q751192, Mark Hoffman
http://www.wikidata.org/entity/Q47352, Eric Cartman
http://www.wikidata.org/entity/Q952328, Lelouch
http://www.wikidata.org/entity/Q73823, Harry Callahan
http://www.wikidata.org/entity/Q1136987, Shadow the Hedgehog
http://www.wikidata.org/entity/Q621798, Alexander Mahone
http://www.wikidata.org/entity/Q994344, Ezio Auditore da Firenze
http://www.wikidata.org/entity/Q51328, Sayid Jarrah
http://www.wikidata.org/entity/Q1985548, Jigsaw
http://www.wikidata.org/entity/Q1774685, Niko Bellic
http://www.wikidata.org/entity/Q2007514, Raiden
http://www.wikidata.org/entity/Q1918366, John Clark
http://www.wikidata.org/entity/Q4024754, Zonker Harris
http://www.wikidata.org/entity/Q4384968, Elena
http://www.wikidata.org/entity/Q5487152, Frank Hastings
http://www.wikidata.org/entity/Q4716748, Alex Browning
http://www.wikidata.org/entity/Q4762405, Angela Channing
http://www.wikidata.org/entity/Q5541034, George Jackson
http://www.wikidata.org/entity/Q4777165, Antono Refa
http://www.wikidata.org/entity/Q4890885, Beory
http://www.wikidata.org/entity/Q5404481, Guajara
http://www.wikidata.org/entity/Q4924279, Blaise Jeannot Andrieux
http://www.wikidata.org/entity/Q5006232, C.W. Blubberhouse
http://www.wikidata.org/entity/Q5083735, Charles Wycliffe
http://www.wikidata.org/entity/Q5152198, Commander McBragg
http://www.wikidata.org/entity/Q5212410, Damien Darkblood
http://www.wikidata.org/entity/Q5251736, Defuser
http://www.wikidata.org/entity/Q5364667, Elle McFeast
http://www.wikidata.org/entity/Q5437610, John Blackwood Ryan
http://www.wikidata.org/entity/Q5534264, Geoff Peterson
http://www.wikidata.org/entity/Q6109476, Ja'mie King
http://www.wikidata.org/entity/Q11125769, Yin Jiao
http://www.wikidata.org/entity/Q11853973, Battler Britton
http://www.wikidata.org/entity/Q1563585, Chester Lake
http://www.wikidata.org/entity/Q1989910, Kurtis Stryker
http://www.wikidata.org/entity/Q1996431, Agent 47
http://www.wikidata.org/entity/Q2340460, Captain Falcon
http://www.wikidata.org/entity/Q2415482, Sly Cooper
http://www.wikidata.org/entity/Q2503497, Kazuma Kiryu
http://www.wikidata.org/entity/Q2264282, Roland Deschain
http://www.wikidata.org/entity/Q105697028, Peter Maximoff
http://www.wikidata.org/entity/Q96379734, Goro Akechi
http://www.wikidata.org/entity/Q55704684, Bayek of Siwa
http://www.wikidata.org/entity/Q2587090, March Hare
http://www.wikidata.org/entity/Q98399037, Krrish (character)
http://www.wikidata.org/entity/Q104834057, Dick Grayson (1989 film series character)
http://www.wikidata.org/entity/Q85880894, Ichiban Kasuga
http://www.wikidata.org/entity/Q2720481, King Louie
http://www.wikidata.org/entity/Q29582192, David Dunn
http://www.wikidata.org/entity/Q2607172, Francis the Talking Mule
http://www.wikidata.org/entity/Q13584579, Tali'Zorah
http://www.wikidata.org/entity/Q13586480, Lew Zealand
http://www.wikidata.org/entity/Q13634582, Flareup
http://www.wikidata.org/entity/Q13857802, Sweedie
http://www.wikidata.org/entity/Q15132409, Kamen Rider Ryugen
http://www.wikidata.org/entity/Q16167890, Solar Pons
http://www.wikidata.org/entity/Q16227921, Shotgun Red
http://www.wikidata.org/entity/Q56244641, Aquaman
http://www.wikidata.org/entity/Q106018150, Marcus Holloway
http://www.wikidata.org/entity/Q55611818, Flowey
http://www.wikidata.org/entity/Q62603901, Joker
http://www.wikidata.org/entity/Q65117523, Peter Parker
http://www.wikidata.org/entity/Q58400182, Barry Allen
http://www.wikidata.org/entity/Q72769780, Sans
http://www.wikidata.org/entity/Q28127389, Corvo Attano
http://www.wikidata.org/entity/Q64026997, Selina Kyle
http://www.wikidata.org/entity/Q30642231, Jason Brody
http://www.wikidata.org/entity/Q70991896, Catwoman
http://www.wikidata.org/entity/Q86755332, Sera
http://www.wikidata.org/entity/Q27777750, Jennifer Hills
http://www.wikidata.org/entity/Q63776505, Arthur Fleck
http://www.wikidata.org/entity/Q65118207, Wayne Hays
http://www.wikidata.org/entity/Q97275436, Logan
http://www.wikidata.org/entity/Q92600458, Eivor
http://www.wikidata.org/entity/Q107133468, Samara
http://www.wikidata.org/entity/Q25407606, Haytham Kenway
http://www.wikidata.org/entity/Q110633875, Blade
http://www.wikidata.org/entity/Q100255100, Vi
http://www.wikidata.org/entity/Q110761655, Dick Grayson
http://www.wikidata.org/entity/Q114153088, Kiriko
http://www.wikidata.org/entity/Q65495741, Ann Takamaki
http://www.wikidata.org/entity/Q65515918, Makoto Niijima
http://www.wikidata.org/entity/Q615226, Uatu
http://www.wikidata.org/entity/Q602854, Stitch
http://www.wikidata.org/entity/Q1647348, Leatherface
http://www.wikidata.org/entity/Q1426132, Moly
http://www.wikidata.org/entity/Q1628095, Annie Wilkes
